rank,cn_title,eng_title,more_title,country,eng_dir,score,num_of_reviews,year,img,url
167,虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台),France,Gérard Oury,8.9,138123,1966,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,https://movie.douban.com/subject/1296909/
168,头脑特工队,Inside Out,玩转脑朋友(港)  /  脑筋急转弯(台),U.S.,,8.7,329608,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,https://movie.douban.com/subject/10533913/
169,我是山姆,I Am Sam,不一样的爸爸(港)  /  他不笨，他是我爸爸(台),U.S.,Jessie Nelson,8.9,149226,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,https://movie.douban.com/subject/1306861/
170,海洋,Océans,Oceans  /  海洋,France,Jacques Perrin / · Jacques Cluzaud,9.0,115160,2009,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,https://movie.douban.com/subject/3443389/
171,二十二,Twenty Two  /  22,Twenty Two  /  22,China,Ke Guo,8.7,162672,2015,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,https://movie.douban.com/subject/26430107/
172,无敌破坏王,Wreck-It Ralph,破坏王拉尔夫  /  破坏王大冒险,U.S.,Rich Moore,8.7,296856,2012,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,https://movie.douban.com/subject/6534248/
173,冰川时代,Ice Age,冰河世纪  /  冰原历险记,U.S.,Carlos Saldanha / · Chris Wedge,8.5,369192,2002,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,https://movie.douban.com/subject/1291578/
174,雨中曲,Singin' in the Rain,雨中情  /  万花嬉春,U.S.,Stanley Donen / · Gene Kelly,9.0,122219,1952,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,https://movie.douban.com/subject/1293460/
175,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台),U.S.,Damien Chazelle,8.6,317119,2014,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,https://movie.douban.com/subject/25773932/
176,燃情岁月,Legends of the Fall,秋日传奇  /  真爱一世情(台),U.S.,Edward Zwick,8.8,182137,1994,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,https://movie.douban.com/subject/1295865/
177,未麻的部屋,Perfect Blue,蓝色的恐惧  /  蓝色恐惧,Japan,Satoshi Kon,8.9,142586,1997,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,https://movie.douban.com/subject/1395091/
178,模仿游戏,The Imitation Game,解码游戏(港)  /  模拟游戏,U.K.,Morten Tyldum,8.6,346795,2014,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,https://movie.douban.com/subject/10463953/
179,人工智能,Artificial Intelligence: AI,AI人工智慧,U.S.,Steven Spielberg,8.6,252865,2001,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,https://movie.douban.com/subject/1302827/
180,一个叫欧维的男人决定去死,En man som heter Ove,明天别再来敲门(台)  /  想死冇咁易(港),Sweden,Hannes Holm,8.8,188714,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,https://movie.douban.com/subject/26628357/
181,穿越时空的少女,時をかける少女,跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,Japan,Mamoru Hosoda,8.6,243680,2006,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,https://movie.douban.com/subject/1937946/
182,忠犬八公物语,ハチ公物語,八千公物语  /  阿八的故事,Japan,Seijirô Kôyama,9.1,92755,1987,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,https://movie.douban.com/subject/1959195/
183,房间,Room,不存在的房间(台)  /  抖室(港),Ireland,Lenny Abrahamson,8.8,223389,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,https://movie.douban.com/subject/25724855/
