title,rank,director,year,url,img
MONSIEUR VERDOUX,698,CHARLIE CHAPLIN,1947,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/1094/image-w384.jpg?1481120179
TURTLES CAN FLY,699,BAHMAN GHOBADI,2004,http://mubi.com/cast/bahman-ghobadi,https://assets.mubi.com/images/film/985/image-w384.jpg?1546736423
TRUST,700,HAL HARTLEY,1990,http://mubi.com/cast/hal-hartley,https://assets.mubi.com/images/film/1628/image-w384.jpg?1548942908
THE BAD SLEEP WELL,701,AKIRA KUROSAWA,1960,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/765/image-w384.jpg?1546736419
ONLY YESTERDAY,702,ISAO TAKAHATA,1991,http://mubi.com/cast/isao-takahata,https://assets.mubi.com/images/film/17348/image-w384.jpg?1546736444
HENRI-GEORGES CLOUZOT'S INFERNO,703,SERGE BROMBERG,2009,http://mubi.com/cast/serge-bromberg,https://assets.mubi.com/images/film/4217/image-w384.jpg?1522774804
LA CIÉNAGA,704,LUCRECIA MARTEL,2001,http://mubi.com/cast/lucrecia-martel,https://assets.mubi.com/images/film/259/image-w384.jpg?1546776009
FOX AND HIS FRIENDS,705,RAINER WERNER FASSBINDER,1975,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/17805/image-w384.jpg?1546736412
LIMELIGHT,706,CHARLIE CHAPLIN,1952,http://mubi.com/cast/charlie-chaplin,https://assets.mubi.com/images/film/2323/image-w384.jpg?1537797651
"IVAN THE TERRIBLE, PART I",707,SERGEI EISENSTEIN,1944,http://mubi.com/cast/sergei-eisenstein,https://assets.mubi.com/images/film/625/image-w384.jpg?1542908964
STRIKE,708,SERGEI EISENSTEIN,1925,http://mubi.com/cast/sergei-eisenstein,https://assets.mubi.com/images/film/3999/image-w384.jpg?1548205214
STREET OF CROCODILES,709,STEPHEN QUAY,1986,http://mubi.com/cast/stephen-quay,https://assets.mubi.com/images/film/21500/image-w384.jpg?1517766735
MABOROSI,710,HIROKAZU KORE-EDA,1995,http://mubi.com/cast/hirokazu-kore-eda,https://assets.mubi.com/images/film/44/image-w384.jpg?1546779639
GERTRUD,711,CARL THEODOR DREYER,1964,http://mubi.com/cast/carl-theodor-dreyer,https://assets.mubi.com/images/film/443/image-w384.jpg?1481118148
BLUE COLLAR,712,PAUL SCHRADER,1978,http://mubi.com/cast/paul-schrader,https://assets.mubi.com/images/film/4182/image-w384.jpg?1546736444
AVA,713,LÉA MYSIUS,2017,http://mubi.com/cast/lea-mysius,https://assets.mubi.com/images/film/170829/image-w384.jpg?1551151723
ASPARAGUS,714,SUZAN PITT,1979,http://mubi.com/cast/suzan-pitt,https://assets.mubi.com/images/film/22576/image-w384.jpg?1527364804
THE STRUCTURE OF CRYSTAL,715,KRZYSZTOF ZANUSSI,1969,http://mubi.com/cast/krzysztof-zanussi,https://assets.mubi.com/images/film/25352/image-w384.jpg?1516922036
BORO IN THE BOX,716,BERTRAND MANDICO,2011,http://mubi.com/cast/bertrand-mandico,https://assets.mubi.com/images/film/45406/image-w384.jpg?1538739594
BAD CONNECTION,717,ERIC JAMEUX,2000,http://mubi.com/cast/eric-jameux,https://assets.mubi.com/images/film/44913/image-w384.jpg?1445896337
THE HYMNS OF MUSCOVY,718,DIMITRI VENKOV,2018,http://mubi.com/cast/dimitri-venkov,https://assets.mubi.com/images/film/205195/image-w384.jpg?1530367201
EDWARD SCISSORHANDS,719,TIM BURTON,1990,http://mubi.com/cast/tim-burton,https://assets.mubi.com/images/film/3379/image-w384.jpg?1555893566
THE DEPARTED,720,MARTIN SCORSESE,2006,http://mubi.com/cast/martin-scorsese,https://assets.mubi.com/images/film/1938/image-w384.jpg?1546736460
BLACK SWAN,721,DARREN ARONOFSKY,2010,http://mubi.com/cast/darren-aronofsky,https://assets.mubi.com/images/film/30960/image-w384.jpg?1546736421
AMERICAN HISTORY X,722,TONY KAYE,1998,http://mubi.com/cast/tony-kaye,https://assets.mubi.com/images/film/141/image-w384.jpg?1546736412
JAWS,723,STEVEN SPIELBERG,1975,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/3439/image-w384.jpg?1546736419
THE WRESTLER,724,DARREN ARONOFSKY,2008,http://mubi.com/cast/darren-aronofsky,https://assets.mubi.com/images/film/1647/image-w384.jpg?1546736427
RATATOUILLE,725,BRAD BIRD,2007,http://mubi.com/cast/brad-bird,https://assets.mubi.com/images/film/2443/image-w384.jpg?1481124068
Y TU MAMÁ TAMBIÉN,726,ALFONSO CUARÓN,2001,http://mubi.com/cast/alfonso-cuaron,https://assets.mubi.com/images/film/287/image-w384.jpg?1546452440
"SYNECDOCHE, NEW YORK",727,CHARLIE KAUFMAN,2008,http://mubi.com/cast/charlie-kaufman,https://assets.mubi.com/images/film/393/image-w384.jpg?1546740092
A SERIOUS MAN,728,JOEL COEN,2009,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/3505/image-w384.jpg?1546740116
SCARFACE,729,BRIAN DE PALMA,1983,http://mubi.com/cast/brian-de-palma,https://assets.mubi.com/images/film/487/image-w384.jpg?1509630382
VOLVER,730,PEDRO ALMODÓVAR,2006,http://mubi.com/cast/pedro-almodovar,https://assets.mubi.com/images/film/121/image-w384.jpg?1486940494
LOLITA,731,STANLEY KUBRICK,1962,http://mubi.com/cast/stanley-kubrick,https://assets.mubi.com/images/film/203/image-w384.jpg?1445898397
THE EXORCIST,732,WILLIAM FRIEDKIN,1973,http://mubi.com/cast/william-friedkin,https://assets.mubi.com/images/film/3971/image-w384.jpg?1561442761
DELICATESSEN,733,JEAN-PIERRE JEUNET,1991,http://mubi.com/cast/jean-pierre-jeunet,https://assets.mubi.com/images/film/326/image-w384.jpg?1531308452
"MONSTERS, INC.",734,PETE DOCTER,2001,http://mubi.com/cast/pete-docter,https://assets.mubi.com/images/film/2845/image-w384.jpg?1546812011
ENTER THE VOID,735,GASPAR NOÉ,2009,http://mubi.com/cast/gaspar-noe,https://assets.mubi.com/images/film/2377/image-w384.jpg?1546920002
WILD AT HEART,736,DAVID LYNCH,1990,http://mubi.com/cast/david-lynch,https://assets.mubi.com/images/film/2227/image-w384.jpg?1546856074
WE NEED TO TALK ABOUT KEVIN,737,LYNNE RAMSAY,2011,http://mubi.com/cast/lynne-ramsay,https://assets.mubi.com/images/film/39858/image-w384.jpg?1558152087
IN BRUGES,738,MARTIN MCDONAGH,2008,http://mubi.com/cast/martin-mcdonagh,https://assets.mubi.com/images/film/18928/image-w384.jpg?1559928809
BLUE IS THE WARMEST COLOR,739,ABDELLATIF KECHICHE,2013,http://mubi.com/cast/abdellatif-kechiche,https://assets.mubi.com/images/film/103597/image-w384.jpg?1536849077
GONE WITH THE WIND,740,VICTOR FLEMING,1939,http://mubi.com/cast/victor-fleming,https://assets.mubi.com/images/film/919/image-w384.jpg?1546740092
HALLOWEEN,741,JOHN CARPENTER,1978,http://mubi.com/cast/john-carpenter,https://assets.mubi.com/images/film/3681/image-w384.jpg?1546740092
THREE COLORS: WHITE,742,KRZYSZTOF KIEŚLOWSKI,1994,http://mubi.com/cast/krzysztof-kieslowski,https://assets.mubi.com/images/film/413/image-w384.jpg?1543888831
MYSTERIOUS SKIN,743,GREGG ARAKI,2004,http://mubi.com/cast/gregg-araki,https://assets.mubi.com/images/film/400/image-w384.jpg?1552212072
FRANCES HA,744,NOAH BAUMBACH,2012,http://mubi.com/cast/noah-baumbach,https://assets.mubi.com/images/film/99721/image-w384.jpg?1535029761
WHIPLASH,745,DAMIEN CHAZELLE,2014,http://mubi.com/cast/damien-chazelle,https://assets.mubi.com/images/film/112787/image-w384.jpg?1544306449
STAND BY ME,746,ROB REINER,1986,http://mubi.com/cast/rob-reiner,https://assets.mubi.com/images/film/3471/image-w384.jpg?1546740092
FISH TANK,747,ANDREA ARNOLD,2009,http://mubi.com/cast/andrea-arnold,https://assets.mubi.com/images/film/2388/image-w384.jpg?1549440002
PONYO,748,HAYAO MIYAZAKI,2008,http://mubi.com/cast/hayao-miyazaki,https://assets.mubi.com/images/film/3498/image-w384.jpg?1546740114
THE PIANO,749,JANE CAMPION,1993,http://mubi.com/cast/jane-campion,https://assets.mubi.com/images/film/382/image-w384.jpg?1546815620
MAD MAX: FURY ROAD,750,GEORGE MILLER,2015,http://mubi.com/cast/george-miller,https://assets.mubi.com/images/film/114803/image-w384.jpg?1546815612
GHOST DOG: THE WAY OF THE SAMURAI,751,JIM JARMUSCH,1999,http://mubi.com/cast/jim-jarmusch,https://assets.mubi.com/images/film/1958/image-w384.jpg?1546740092
THE NEW WORLD,752,TERRENCE MALICK,2005,http://mubi.com/cast/terrence-malick,https://assets.mubi.com/images/film/1560/image-w384.jpg?1546740092
DOWNFALL,753,OLIVER HIRSCHBIEGEL,2004,http://mubi.com/cast/oliver-hirschbiegel,https://assets.mubi.com/images/film/1696/image-w384.jpg?1546740092
CERTIFIED COPY,754,ABBAS KIAROSTAMI,2010,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/26220/image-w384.jpg?1561389218
KING KONG,755,MERIAN C. COOPER,1933,http://mubi.com/cast/merian-c-cooper,https://assets.mubi.com/images/film/934/image-w384.jpg?1445893297
THE PURPLE ROSE OF CAIRO,756,WOODY ALLEN,1985,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2179/image-w384.jpg?1546740093
RUSSIAN ARK,757,ALEKSANDR SOKUROV,2002,http://mubi.com/cast/aleksandr-sokurov,https://assets.mubi.com/images/film/312/image-w384.jpg?1546740115
THE SECRET IN THEIR EYES,758,JUAN JOSÉ CAMPANELLA,2009,http://mubi.com/cast/juan-jose-campanella,https://assets.mubi.com/images/film/4238/image-w384.jpg?1538740781
THE MEANING OF LIFE,759,TERRY GILLIAM,1983,http://mubi.com/cast/terry-gilliam,https://assets.mubi.com/images/film/6065/image-w384.jpg?1546740092
LOVE AND DEATH,760,WOODY ALLEN,1975,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2713/image-w384.jpg?1546745464
SYMPATHY FOR MR. VENGEANCE,761,PARK CHAN-WOOK,2002,http://mubi.com/cast/park-chan-wook,https://assets.mubi.com/images/film/21380/image-w384.jpg?1556326862
THE WICKER MAN,762,ROBIN HARDY,1973,http://mubi.com/cast/robin-hardy,https://assets.mubi.com/images/film/6471/image-w384.jpg?1546745463
IF....,763,LINDSAY ANDERSON,1968,http://mubi.com/cast/lindsay-anderson,https://assets.mubi.com/images/film/825/image-w384.jpg?1542723859
THE ILLUSIONIST,764,SYLVAIN CHOMET,2010,http://mubi.com/cast/sylvain-chomet,https://assets.mubi.com/images/film/26618/image-w384.jpg?1544007635
MOMMY,765,XAVIER DOLAN,2014,http://mubi.com/cast/xavier-dolan,https://assets.mubi.com/images/film/114067/image-w384.jpg?1558372327
THE STING,766,GEORGE ROY HILL,1973,http://mubi.com/cast/george-roy-hill,https://assets.mubi.com/images/film/1995/image-w384.jpg?1546745464
DAYS OF BEING WILD,767,WONG KAR-WAI,1990,http://mubi.com/cast/wong-kar-wai,https://assets.mubi.com/images/film/2105/image-w384.jpg?1546745464
INFERNAL AFFAIRS,768,ANDREW LAU WAI-KEUNG,2002,http://mubi.com/cast/andrew-lau-wai-keung,https://assets.mubi.com/images/film/181/image-w384.jpg?1546745463
IN THE LOOP,769,ARMANDO IANNUCCI,2009,http://mubi.com/cast/armando-iannucci,https://assets.mubi.com/images/film/2265/image-w384.jpg?1543395614
A HARD DAY'S NIGHT,770,RICHARD LESTER,1964,http://mubi.com/cast/richard-lester,https://assets.mubi.com/images/film/2090/image-w384.jpg?1559376151
HARD BOILED,771,JOHN WOO,1992,http://mubi.com/cast/john-woo,https://assets.mubi.com/images/film/523/image-w384.jpg?1546745464
HUSBANDS AND WIVES,772,WOODY ALLEN,1992,http://mubi.com/cast/woody-allen,https://assets.mubi.com/images/film/2706/image-w384.jpg?1540069220
THE HANDMAIDEN,773,PARK CHAN-WOOK,2016,http://mubi.com/cast/park-chan-wook,https://assets.mubi.com/images/film/149904/image-w384.jpg?1546747210
LA COLLECTIONNEUSE,774,ÉRIC ROHMER,1967,http://mubi.com/cast/eric-rohmer,https://assets.mubi.com/images/film/792/image-w384.jpg?1543971607
LE HAVRE,775,AKI KAURISMÄKI,2011,http://mubi.com/cast/aki-kaurismaki,https://assets.mubi.com/images/film/44624/image-w384.jpg?1548478838
PINK FLOYD THE WALL,776,ALAN PARKER,1982,http://mubi.com/cast/alan-parker,https://assets.mubi.com/images/film/16386/image-w384.jpg?1546747249
CAVE OF FORGOTTEN DREAMS,777,WERNER HERZOG,2010,http://mubi.com/cast/werner-herzog,https://assets.mubi.com/images/film/31926/image-w384.jpg?1553587217
SUMMER WITH MONIKA,778,INGMAR BERGMAN,1953,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/3974/image-w384.jpg?1557079591
THE TIN DRUM,779,VOLKER SCHLÖNDORFF,1979,http://mubi.com/cast/volker-schlondorff,https://assets.mubi.com/images/film/789/image-w384.jpg?1543381207
SERPICO,780,SIDNEY LUMET,1973,http://mubi.com/cast/sidney-lumet,https://assets.mubi.com/images/film/12835/image-w384.jpg?1497439880
THE FLORIDA PROJECT,781,SEAN BAKER,2017,http://mubi.com/cast/sean-baker,https://assets.mubi.com/images/film/157631/image-w384.jpg?1546750814
JULIET OF THE SPIRITS,782,FEDERICO FELLINI,1965,http://mubi.com/cast/federico-fellini,https://assets.mubi.com/images/film/689/image-w384.jpg?1544810432
"TETSUO, THE IRON MAN",783,SHIN'YA TSUKAMOTO,1989,http://mubi.com/cast/shin-ya-tsukamoto,https://assets.mubi.com/images/film/2884/image-w384.jpg?1546750807
DEATH IN VENICE,784,LUCHINO VISCONTI,1971,http://mubi.com/cast/luchino-visconti,https://assets.mubi.com/images/film/4296/image-w384.jpg?1546750850
LEVIATHAN,785,ANDREY ZVYAGINTSEV,2014,http://mubi.com/cast/andrey-zvyagintsev,https://assets.mubi.com/images/film/114085/image-w384.jpg?1538743121
THE KILLER,786,JOHN WOO,1989,http://mubi.com/cast/john-woo,https://assets.mubi.com/images/film/231/image-w384.jpg?1546750850
INVASION OF THE BODY SNATCHERS,787,DON SIEGEL,1956,http://mubi.com/cast/don-siegel,https://assets.mubi.com/images/film/2213/image-w384.jpg?1539669454
CABARET,788,BOB FOSSE,1972,http://mubi.com/cast/bob-fosse,https://assets.mubi.com/images/film/4248/image-w384.jpg?1445912034
WEEKEND,789,ANDREW HAIGH,2011,http://mubi.com/cast/andrew-haigh,https://assets.mubi.com/images/film/39876/image-w384.jpg?1546750850
SAFE,790,TODD HAYNES,1995,http://mubi.com/cast/todd-haynes,https://assets.mubi.com/images/film/425/image-w384.jpg?1546750810
CAT PEOPLE,791,JACQUES TOURNEUR,1942,http://mubi.com/cast/jacques-tourneur,https://assets.mubi.com/images/film/2081/image-w384.jpg?1546750808
THE FIVE OBSTRUCTIONS,792,JØRGEN LETH,2003,http://mubi.com/cast/jorgen-leth,https://assets.mubi.com/images/film/481/image-w384.jpg?1530844825
SHOCK CORRIDOR,793,SAMUEL FULLER,1963,http://mubi.com/cast/samuel-fuller,https://assets.mubi.com/images/film/534/image-w384.jpg?1557956548
BOB LE FLAMBEUR,794,JEAN-PIERRE MELVILLE,1956,http://mubi.com/cast/jean-pierre-melville,https://assets.mubi.com/images/film/690/image-w384.jpg?1550140214
DOLLS,795,TAKESHI KITANO,2002,http://mubi.com/cast/takeshi-kitano,https://assets.mubi.com/images/film/1013/image-w384.jpg?1551981628
THE EDGE OF HEAVEN,796,FATIH AKIN,2007,http://mubi.com/cast/fatih-akin,https://assets.mubi.com/images/film/126/image-w384.jpg?1533004577
REPRISE,797,JOACHIM TRIER,2006,http://mubi.com/cast/joachim-trier,https://assets.mubi.com/images/film/3197/image-w384.jpg?1546761639
FRANKENSTEIN,798,JAMES WHALE,1931,http://mubi.com/cast/james-whale,https://assets.mubi.com/images/film/18639/image-w384.jpg?1481140023
WHISPER OF THE HEART,799,YOSHIFUMI KONDÔ,1995,http://mubi.com/cast/yoshifumi-kondo,https://assets.mubi.com/images/film/2347/image-w384.jpg?1546761638
THE MATCH FACTORY GIRL,800,AKI KAURISMÄKI,1990,http://mubi.com/cast/aki-kaurismaki,https://assets.mubi.com/images/film/961/image-w384.jpg?1546761639
THE NAKED KISS,801,SAMUEL FULLER,1964,http://mubi.com/cast/samuel-fuller,https://assets.mubi.com/images/film/533/image-w384.jpg?1553865787
"THE DEVIL, PROBABLY",802,ROBERT BRESSON,1977,http://mubi.com/cast/robert-bresson,https://assets.mubi.com/images/film/460/image-w384.jpg?1546761638
TOKYO GODFATHERS,803,SATOSHI KON,2003,http://mubi.com/cast/satoshi-kon,https://assets.mubi.com/images/film/22574/image-w384.jpg?1546761638
HIGH NOON,804,FRED ZINNEMANN,1952,http://mubi.com/cast/fred-zinnemann,https://assets.mubi.com/images/film/11680/image-w384.jpg?1560546012
TO HAVE AND HAVE NOT,805,HOWARD HAWKS,1944,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/3032/image-w384.jpg?1546761639
BLACK ORPHEUS,806,MARCEL CAMUS,1959,http://mubi.com/cast/marcel-camus,https://assets.mubi.com/images/film/344/image-w384.jpg?1546765214
ORLANDO,807,SALLY POTTER,1992,http://mubi.com/cast/sally-potter,https://assets.mubi.com/images/film/2691/image-w384.jpg?1551346686
35 SHOTS OF RUM,808,CLAIRE DENIS,2008,http://mubi.com/cast/claire-denis,https://assets.mubi.com/images/film/1769/image-w384.jpg?1548095803
SCORPIO RISING,809,KENNETH ANGER,1963,http://mubi.com/cast/kenneth-anger,https://assets.mubi.com/images/film/3724/image-w384.jpg?1481127993
THE REMAINS OF THE DAY,810,JAMES IVORY,1993,http://mubi.com/cast/james-ivory,https://assets.mubi.com/images/film/1736/image-w384.jpg?1546765214
HÄXAN: WITCHCRAFT THROUGH THE AGES,811,BENJAMIN CHRISTENSEN,1922,http://mubi.com/cast/benjamin-christensen,https://assets.mubi.com/images/film/352/image-w384.jpg?1561457702
LOLA,812,JACQUES DEMY,1961,http://mubi.com/cast/jacques-demy,https://assets.mubi.com/images/film/3815/image-w384.jpg?1546765213
THE KILLERS,813,ROBERT SIODMAK,1946,http://mubi.com/cast/robert-siodmak,https://assets.mubi.com/images/film/724/image-w384.jpg?1552804171
THE LAST DETAIL,814,HAL ASHBY,1973,http://mubi.com/cast/hal-ashby,https://assets.mubi.com/images/film/2591/image-w384.jpg?1546765215
ANTOINE AND COLETTE,815,FRANÇOIS TRUFFAUT,1962,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/21863/image-w384.jpg?1528448549
AMERICAN MOVIE,816,CHRIS SMITH,1999,http://mubi.com/cast/chris-smith,https://assets.mubi.com/images/film/2290/image-w384.jpg?1481123654
NINOTCHKA,817,ERNST LUBITSCH,1939,http://mubi.com/cast/ernst-lubitsch,https://assets.mubi.com/images/film/13664/image-w384.jpg?1481136269
THE ASPHALT JUNGLE,818,JOHN HUSTON,1950,http://mubi.com/cast/john-huston,https://assets.mubi.com/images/film/4161/image-w384.jpg?1546772432
JOURNEY TO ITALY,819,ROBERTO ROSSELLINI,1954,http://mubi.com/cast/roberto-rossellini,https://assets.mubi.com/images/film/1046/image-w384.jpg?1546776011
"GOODBYE, DRAGON INN",820,TSAI MING-LIANG,2003,http://mubi.com/cast/tsai-ming-liang,https://assets.mubi.com/images/film/3218/image-w384.jpg?1546772408
ABOUT ELLY,821,ASGHAR FARHADI,2009,http://mubi.com/cast/asghar-farhadi,https://assets.mubi.com/images/film/2488/image-w384.jpg?1546776041
THE DEVIL AND DANIEL JOHNSTON,822,JEFF FEUERZEIG,2005,http://mubi.com/cast/jeff-feuerzeig,https://assets.mubi.com/images/film/2689/image-w384.jpg?1546765214
TOKYO SONATA,823,KIYOSHI KUROSAWA,2008,http://mubi.com/cast/kiyoshi-kurosawa,https://assets.mubi.com/images/film/464/image-w384.jpg?1553202052
VERONIKA VOSS,824,RAINER WERNER FASSBINDER,1982,http://mubi.com/cast/rainer-werner-fassbinder,https://assets.mubi.com/images/film/593/image-w384.jpg?1546776018
MINNIE AND MOSKOWITZ,825,JOHN CASSAVETES,1971,http://mubi.com/cast/john-cassavetes,https://assets.mubi.com/images/film/17063/image-w384.jpg?1546776012
DEAR DIARY,826,NANNI MORETTI,1994,http://mubi.com/cast/nanni-moretti,https://assets.mubi.com/images/film/1340/image-w384.jpg?1546840812
LA PROMESSE,827,JEAN-PIERRE DARDENNE,1996,http://mubi.com/cast/jean-pierre-dardenne,https://assets.mubi.com/images/film/30/image-w384.jpg?1546776013
THE SOFT SKIN,828,FRANÇOIS TRUFFAUT,1964,http://mubi.com/cast/francois-truffaut,https://assets.mubi.com/images/film/2236/image-w384.jpg?1554181210
10,829,ABBAS KIAROSTAMI,2002,http://mubi.com/cast/abbas-kiarostami,https://assets.mubi.com/images/film/156/image-w384.jpg?1546776031
DIVORCE ITALIAN STYLE,830,PIETRO GERMI,1961,http://mubi.com/cast/pietro-germi,https://assets.mubi.com/images/film/877/image-w384.jpg?1557223404
DRUNKEN ANGEL,831,AKIRA KUROSAWA,1948,http://mubi.com/cast/akira-kurosawa,https://assets.mubi.com/images/film/845/image-w384.jpg?1546826446
LA RONDE,832,MAX OPHÜLS,1950,http://mubi.com/cast/max-ophuls,https://assets.mubi.com/images/film/573/image-w384.jpg?1560767106
RED RIVER,833,HOWARD HAWKS,1948,http://mubi.com/cast/howard-hawks,https://assets.mubi.com/images/film/2855/image-w384.jpg?1546776016
JODOROWSKY'S DUNE,834,FRANK PAVICH,2013,http://mubi.com/cast/frank-pavich,https://assets.mubi.com/images/film/104689/image-w384.jpg?1546776012
CAPE FEAR,835,J. LEE THOMPSON,1962,http://mubi.com/cast/j-lee-thompson,https://assets.mubi.com/images/film/5250/image-w384.jpg?1534735857
DIARY OF A PREGNANT WOMAN,836,AGNÈS VARDA,1958,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/25527/image-w384.jpg?1552211900
FAREWELL MY CONCUBINE,837,CHEN KAIGE,1993,http://mubi.com/cast/chen-kaige,https://assets.mubi.com/images/film/3463/image-w384.jpg?1546776011
THE PASSION OF ANNA,838,INGMAR BERGMAN,1969,http://mubi.com/cast/ingmar-bergman,https://assets.mubi.com/images/film/3968/image-w384.jpg?1546776012
SIX SHOOTER,839,MARTIN MCDONAGH,2004,http://mubi.com/cast/martin-mcdonagh,https://assets.mubi.com/images/film/25099/image-w384.jpg?1517873314
ENTR'ACTE,840,RENÉ CLAIR,1924,http://mubi.com/cast/rene-clair,https://assets.mubi.com/images/film/23008/image-w384.jpg?1553015125
NEIGHBOURING SOUNDS,841,KLEBER MENDONÇA FILHO,2012,http://mubi.com/cast/kleber-mendonca-filho,https://assets.mubi.com/images/film/94584/image-w384.jpg?1550736011
LE NOTTI BIANCHE,842,LUCHINO VISCONTI,1957,http://mubi.com/cast/luchino-visconti,https://assets.mubi.com/images/film/868/image-w384.jpg?1546776015
CHILDREN OF HEAVEN,843,MAJID MAJIDI,1997,http://mubi.com/cast/majid-majidi,https://assets.mubi.com/images/film/21367/image-w384.jpg?1546776012
THE AWFUL TRUTH,844,LEO MCCAREY,1937,http://mubi.com/cast/leo-mccarey,https://assets.mubi.com/images/film/2546/image-w384.jpg?1546779609
A SONG OF LOVE,845,JEAN GENET,1950,http://mubi.com/cast/jean-genet,https://assets.mubi.com/images/film/21484/image-w384.jpg?1546779609
THIS IS NOT A FILM,846,MOJTABA MIRTAHASEBI,2011,http://mubi.com/cast/mojtaba-mirtahasebi,https://assets.mubi.com/images/film/45427/image-w384.jpg?1545350418
THE RIVER,847,JEAN RENOIR,1951,http://mubi.com/cast/jean-renoir,https://assets.mubi.com/images/film/679/image-w384.jpg?1546779608
ARIEL,848,AKI KAURISMÄKI,1988,http://mubi.com/cast/aki-kaurismaki,https://assets.mubi.com/images/film/959/image-w384.jpg?1512610145
LEVIATHAN,849,VERENA PARAVEL,2012,http://mubi.com/cast/verena-paravel,https://assets.mubi.com/images/film/98845/image-w384.jpg?1560271756
PLAY,850,RUBEN ÖSTLUND,2011,http://mubi.com/cast/ruben-ostlund,https://assets.mubi.com/images/film/45235/image-w384.jpg?1537195749
FAUST,851,JAN ŠVANKMAJER,1994,http://mubi.com/cast/jan-svankmajer,https://assets.mubi.com/images/film/50/image-w384.jpg?1546779609
WE WON'T GROW OLD TOGETHER,852,MAURICE PIALAT,1972,http://mubi.com/cast/maurice-pialat,https://assets.mubi.com/images/film/20417/image-w384.jpg?1546779607
EAT DRINK MAN WOMAN,853,ANG LEE,1994,http://mubi.com/cast/ang-lee,https://assets.mubi.com/images/film/4382/image-w384.jpg?1543377626
SECRET SUNSHINE,854,LEE CHANG-DONG,2007,http://mubi.com/cast/lee-chang-dong,https://assets.mubi.com/images/film/103/image-w384.jpg?1542438012
ALL OR NOTHING,855,MIKE LEIGH,2002,http://mubi.com/cast/mike-leigh,https://assets.mubi.com/images/film/1886/image-w384.jpg?1544230807
"SPRING NIGHT, SUMMER NIGHT",856,JOSEPH L. ANDERSON,1967,http://mubi.com/cast/joseph-l-anderson,https://assets.mubi.com/images/film/135413/image-w384.jpg?1537196405
JANE B. PAR AGNÈS V.,857,AGNÈS VARDA,1988,http://mubi.com/cast/agnes-varda,https://assets.mubi.com/images/film/24119/image-w384.jpg?1559606577
DONNIE DARKO,858,RICHARD KELLY,2001,http://mubi.com/cast/richard-kelly,https://assets.mubi.com/images/film/159/image-w384.jpg?1548864573
KILL BILL: VOL. 2,859,QUENTIN TARANTINO,2004,http://mubi.com/cast/quentin-tarantino,https://assets.mubi.com/images/film/1657/image-w384.jpg?1553779330
FEAR AND LOATHING IN LAS VEGAS,860,TERRY GILLIAM,1998,http://mubi.com/cast/terry-gilliam,https://assets.mubi.com/images/film/215/image-w384.jpg?1560463342
"O BROTHER, WHERE ART THOU?",861,JOEL COEN,2000,http://mubi.com/cast/joel-coen,https://assets.mubi.com/images/film/963/image-w384.jpg?1546812050
THE TRUMAN SHOW,862,PETER WEIR,1998,http://mubi.com/cast/peter-weir,https://assets.mubi.com/images/film/3433/image-w384.jpg?1546812054
PUNCH-DRUNK LOVE,863,PAUL THOMAS ANDERSON,2002,http://mubi.com/cast/paul-thomas-anderson,https://assets.mubi.com/images/film/1702/image-w384.jpg?1546812012
FINDING NEMO,864,ANDREW STANTON,2003,http://mubi.com/cast/andrew-stanton,https://assets.mubi.com/images/film/3382/image-w384.jpg?1546812036
SAVING PRIVATE RYAN,865,STEVEN SPIELBERG,1998,http://mubi.com/cast/steven-spielberg,https://assets.mubi.com/images/film/3399/image-w384.jpg?1546812013
IRREVERSIBLE,866,GASPAR NOÉ,2002,http://mubi.com/cast/gaspar-noe,https://assets.mubi.com/images/film/111/image-w384.jpg?1561461652
DIE HARD,867,JOHN MCTIERNAN,1988,http://mubi.com/cast/john-mctiernan,https://assets.mubi.com/images/film/2151/image-w384.jpg?1546812014
STAR WARS: EPISODE VI - RETURN OF THE JEDI,868,RICHARD MARQUAND,1983,http://mubi.com/cast/richard-marquand,https://assets.mubi.com/images/film/3474/image-w384.jpg?1546812039
PI,869,DARREN ARONOFSKY,1998,http://mubi.com/cast/darren-aronofsky,https://assets.mubi.com/images/film/1667/image-w384.jpg?1548216002
HER,870,SPIKE JONZE,2013,http://mubi.com/cast/spike-jonze,https://assets.mubi.com/images/film/108625/image-w384.jpg?1535944280
FERRIS BUELLER'S DAY OFF,871,JOHN HUGHES,1986,http://mubi.com/cast/john-hughes,https://assets.mubi.com/images/film/2195/image-w384.jpg?1546812013
A SINGLE MAN,872,TOM FORD,2009,http://mubi.com/cast/tom-ford,https://assets.mubi.com/images/film/4324/image-w384.jpg?1559756478
